ID,color,temperature,colorfulness,color_harmony
monochromatic/orange/62532775@N0334263876354.jpg,5.4884987,6.35,7.82,4.67
complementary/orange_green/132948679@N0424223178980.jpg,6.729547,6.84,4.22,7.78
complementary/blue_violet/100721773@N0624828963159.jpg,5.3638015,6.72,7.45,5.98
complementary/blue_violet/101480190@N0233946247961.jpg,5.984276,4.67,7.23,6.89
complementary/blue_violet/118050174@N0524726062711.jpg,5.642215,4.36,6.57,7.44
complementary/blue_violet/12005930@N0725000227408.jpg,6.4083614,5.56,8.29,6.14
complementary/blue_violet/122311094@N0539996654694.jpg,5.8988934,7.54,9.32,8.46
complementary/blue_violet/103787523@N0428398885073.jpg,6.382438,6.42,6.78,8.23
complementary/blue_violet/11336959@N061092193769.jpg,6.433609,5.46,9.87,6.58
complementary/blue_violet/122311094@N0518783444906.jpg,6.2479477,6.45,9.87,4.32
complementary/blue_violet/109351237@N0625654118708.jpg,6.095177,6.45,7.32,8.76
complementary/blue_violet/124556708@N0627745400436.jpg,6.271898,3.26,6.89,7.43
complementary/blue_violet/121252323@N0431677858184.jpg,5.995885,5.74,4.89,7.32
complementary/blue_violet/124728055@N0616921091152.jpg,5.0099564,5.06,9.87,6.32
complementary/blue_violet/124733025@N0816799870319.jpg,6.934843,6.45,5.23,7.68
complementary/blue_violet/125970877@N0317116347657.jpg,5.9879975,7.48,9.36,8.22
complementary/blue_violet/126037511@N0716703744060.jpg,7.1253433,7.43,6.17,7.89
complementary/blue_violet/126768606@N0221100231192.jpg,5.37276,4.27,6.58,7.34
complementary/blue_violet/127060499@N0625244258904.jpg,6.392792,6.35,5.79,6.88
complementary/blue_violet/129875177@N0521063996164.jpg,5.792997,6.74,8.56,5.32
complementary/blue_violet/130624433@N0431484882887.jpg,4.619875,3.42,5.06,6.89
complementary/blue_violet/130806359@N0435010534864.jpg,6.0713925,5.34,9.86,7.42
complementary/blue_violet/131232151@N0816810219528.jpg,6.5054417,6.72,8.45,5.33
complementary/blue_violet/118381448@N0316804554441.jpg,6.4599066,5.47,7.92,6.33
complementary/blue_violet/121476474@N0427349338041.jpg,5.0157003,4.57,7.32,5.89
complementary/blue_violet/124728055@N0616896446526.jpg,5.374539,5.62,9.47,7.33
complementary/blue_violet/124728055@N0616922383465.jpg,6.201014,5.54,9.76,6.48
complementary/blue_violet/124733025@N0816627948851.jpg,5.234125,6.73,9.42,7.15
complementary/blue_violet/124733025@N0816959319408.jpg,5.650978,5.67,9.84,6.48
complementary/blue_violet/124733025@N0817298053095.jpg,5.1489983,6.32,9.58,7.14
complementary/blue_violet/125216703@N0230951072218.jpg,4.961149,5.0,6.34,7.89
complementary/blue_violet/125970877@N0317323794615.jpg,5.986917,5.43,8.76,7.32
complementary/blue_violet/126635510@N0618960206201.jpg,5.1790223,4.37,7.92,6.58
complementary/blue_violet/126654575@N0228399364549.jpg,5.7527537,5.67,8.23,6.78
complementary/blue_violet/126898601@N0524417183112.jpg,5.7760158,6.52,4.38,7.11
complementary/blue_violet/127508165@N0619506565059.jpg,5.6927314,4.56,3.78,7.42
complementary/blue_violet/127836968@N0826681913445.jpg,6.020726,4.79,7.65,5.98
complementary/blue_violet/130047237@N0722229648712.jpg,5.411777,3.27,6.14,5.85
complementary/blue_violet/130143467@N0427176916325.jpg,5.8375845,6.34,8.76,7.12
complementary/blue_violet/130190518@N0420726974775.jpg,5.865982,5.34,3.87,7.62
complementary/blue_violet/130640348@N0226124813861.jpg,5.608965,4.63,6.48,7.92
complementary/blue_violet/130806359@N0428618849422.jpg,6.49203,5.67,4.33,3.21
complementary/blue_violet/130832276@N0429110295964.jpg,6.2686906,5.57,6.28,7.43
complementary/blue_violet/131000719@N0427178147072.jpg,6.207924,3.52,6.74,4.88
complementary/blue_violet/131124400@N0841326576364.jpg,5.735694,6.28,8.47,5.39
complementary/blue_violet/131307610@N0816399465524.jpg,6.436764,5.43,7.21,6.78
complementary/blue_violet/131389888@N0220189950515.jpg,5.337967,5.62,8.47,6.33
complementary/blue_violet/131525597@N0628965917161.jpg,5.316621,6.45,8.22,7.33
complementary/blue_violet/131613023@N0232430837070.jpg,5.4734755,5.73,9.47,7.82
complementary/blue_violet/131645512@N0316900891879.jpg,5.6796265,5.72,4.89,6.34
complementary/blue_violet/131963089@N0817147234659.jpg,5.4542656,4.22,6.74,5.39
complementary/blue_violet/131993287@N0819871012378.jpg,4.928962,6.53,7.84,6.29
complementary/blue_violet/132088717@N0320959046704.jpg,6.96382,7.24,6.58,5.39
complementary/blue_violet/132579522@N0337906797006.jpg,5.19942,5.23,6.78,4.89
complementary/blue_violet/132920795@N0416778567284.jpg,5.4392457,5.67,8.29,6.54
complementary/blue_violet/132920795@N0416780876873.jpg,6.1140885,6.27,5.84,6.11
complementary/blue_violet/132920795@N0417193626847.jpg,5.5995884,4.32,5.76,6.89
complementary/blue_violet/132920795@N0417193724797.jpg,5.0087276,6.73,7.58,4.22
complementary/blue_violet/132979807@N0617177978038.jpg,5.089973,4.32,6.78,5.56
complementary/blue_violet/135129873@N0425229398630.jpg,6.1042986,4.37,6.84,7.65
complementary/blue_violet/135506825@N0828527612270.jpg,6.89866,5.73,4.88,8.46
complementary/blue_violet/135542973@N0627919300725.jpg,5.318398,5.63,9.47,6.52
complementary/blue_violet/135576309@N0424064588885.jpg,5.7975063,5.23,8.76,7.82
complementary/blue_violet/135917474@N0540946688014.jpg,6.5990047,3.47,6.78,7.94
complementary/blue_violet/136161943@N0226366879576.jpg,5.642847,4.52,7.83,6.34
complementary/blue_violet/136672080@N0522048169723.jpg,5.691955,5.37,4.72,2.65
complementary/blue_violet/136763969@N0424726777724.jpg,4.468549,6.34,9.76,7.22
complementary/blue_violet/137446069@N0828745154474.jpg,5.490051,7.43,5.67,6.52
complementary/blue_violet/137556479@N0523414757779.jpg,5.8300705,4.67,3.12,7.89
complementary/blue_violet/138072514@N0335193656541.jpg,6.3213663,2.46,7.53,6.89
complementary/blue_violet/138601747@N0424753048908.jpg,5.7982388,4.67,6.32,7.89
complementary/blue_violet/139192406@N0243204530710.jpg,5.86062,7.43,6.17,5.89
complementary/blue_violet/140896887@N0239071766530.jpg,6.2484465,2.78,2.93,6.37
complementary/blue_violet/141261343@N0626134035796.jpg,6.353875,4.67,6.23,8.55
