ID,holistic_color,temperature,colorfulness,color_harmony
monochromatic/green/peter_warne-epping_forest42734050215.jpg,6.37,6.45,2.37,8.16
complementary/red_yellow/snootyfx28924840530.jpg,5.71,6.73,7.58,7.14
monochromatic/violet/124733025@N0816569788197.jpg,6.84,4.53,5.76,7.82
monochromatic/lightblue/134295349@N0320156846280.jpg,5.61,4.37,6.12,7.89
temperature/a3234-IMG_1640_C.jpg,6.16,3.67,2.45,6.78
complementary/red_orange/134864272@N0240693671502.jpg,7.11,7.43,2.37,7.89
complementary/red_green/30744439@N0340808017764.jpg,4.6,5.22,4.89,6.34
monochromatic/pink/muchlove201627536458173.jpg,6.28,3.57,2.46,7.89
monochromatic/darkyellow/michaelinman37451958325.jpg,6.29,6.78,4.22,7.84
temperature/a3065-jmac_DSC0967_D.JPG,5.28,4.56,3.42,5.89
complementary/red_blue/ifido36945876480.jpg,5.91,6.23,4.78,8.46
temperature/a2891-kme_154_C.jpg,5.55,3.76,2.45,5.98
complementary/green_violet/fitzpix18823918236.jpg,6.48,6.75,8.2,7.6
temperature/a3220-IMG_4829_D.JPG,6.13,3.72,2.47,7.85
monochromatic/orange/133016908@N0447460210402.jpg,5.56,6.47,4.89,7.32
complementary/red_violet/steventhompson3837374459540.jpg,5.08,4.32,8.46,5.27
monochromatic/darkyellow/147672975@N0430496687205.jpg,6.08,7.25,4.8,6.9
monochromatic/darkorange/31265008@N0336551332354.jpg,6.74,7.34,5.76,8.29
monochromatic/gray/14138947@N0735219259962.jpg,6.17,7.45,9.32,6.78
monochromatic/orange/126963874@N0523936359048.jpg,5.82,7.32,5.78,8.43
complementary/red_yellow/41109486@N0825643888142.jpg,5.43,4.32,8.75,6.58
complementary/orange_violet/40239154@N0836899232623.jpg,5.73,7.34,5.89,6.43
complementary/yellow_violet/margaruiztemprano21293479862.jpg,5.62,4.56,6.78,7.89
monochromatic/red/rhahs25515406851.jpg,5.09,8.23,6.47,4.11
monochromatic/darkyellow/schweizerrolf25704935042.jpg,6.41,7.34,5.67,8.54
complementary/red_orange/149440633@N0733185398763.jpg,5.94,5.67,8.34,7.29
complementary/yellow_violet/cjgraham32169598002.jpg,5.16,6.74,4.62,7.33
monochromatic/orange/118798143@N0520687185168.jpg,6.57,7.32,3.58,8.46
complementary/yellow_green/jackal120235045273.jpg,5.84,6.58,9.42,7.85
complementary/blue_violet/douglaspike19900685859.jpg,6.24,5.67,4.32,6.89
complementary/red_blue/128329351@N0833148762153.jpg,5.93,6.45,8.23,7.11
monochromatic/darkorange/149440633@N0733185398763.jpg,5.94,5.74,9.32,7.86
complementary/orange_green/photoartvlade16926257984.jpg,6.48,5.67,4.23,6.54
monochromatic/orange/dave_whatt39237204260.jpg,5.78,7.56,2.49,6.19
monochromatic/darkorange/karunyaraj31552855655.jpg,5.84,6.78,9.32,7.45
complementary/orange_blue/timpeake25352987494.jpg,5.16,6.78,4.29,8.65
complementary/orange_blue/134864272@N0229995637805.jpg,6.0,5.43,6.27,7.61
complementary/orange_green/dan456424645968773.jpg,5.61,6.43,9.87,4.56
monochromatic/black/87485481@N0423920538990.jpg,6.37,6.72,2.14,7.83
complementary/orange_green/107889266@N0736900312726.jpg,5.2,7.23,4.56,8.91
monochromatic/orange/vintagecameraguy29325665655.jpg,5.52,7.54,8.79,7.23
complementary/red_yellow/133713250@N0525668448556.jpg,4.95,7.34,4.76,6.89
temperature/a3103-_DSC3362_C.jpg,5.58,4.89,2.47,5.13
complementary/orange_violet/130898712@N0521696763468.jpg,4.85,5.0,9.87,2.34
monochromatic/darkorange/lightnoir25387526152.jpg,5.71,6.78,5.43,7.92
complementary/yellow_green/147811034@N0545711215641.jpg,6.43,6.27,4.13,7.85
complementary/orange_yellow/jrrondeau20347616636.jpg,4.95,7.34,8.56,6.79
complementary/green_blue/muchlove201640695467511.jpg,4.62,5.0,9.72,1.33
monochromatic/black/95449825@N0327618131366.jpg,6.02,5.76,5.29,7.84
complementary/blue_violet/andreacuevas18343725092.jpg,5.18,5.67,7.24,6.51
temperature/a2991-kme_300_AS.jpg,5.74,3.45,2.34,6.78
monochromatic/white/paulcore811844671516051.jpg,5.97,0.0,0.0,10.0
complementary/orange_blue/kimshand29838687993.jpg,5.35,7.63,5.48,8.21
complementary/red_green/abstractartangel7739964231064.jpg,5.15,5.29,9.43,4.76
complementary/yellow_green/39414578@N0328205196876.jpg,5.68,6.35,4.89,7.23
monochromatic/darkorange/17606294@N088135106696.jpg,5.74,5.76,7.64,6.23
complementary/red_violet/alexfedoseenko43148258834.jpg,4.42,5.67,6.22,7.84
complementary/green_violet/taxxon270516928653582.jpg,5.84,6.87,8.43,7.19
complementary/red_orange/154775334@N0829252009508.jpg,5.5,7.54,2.36,7.82
monochromatic/pink/traumahawk28510615987.jpg,5.05,7.34,2.56,6.89
monochromatic/lightblue/146377320@N0230813279621.jpg,4.52,5.67,5.45,6.33
monochromatic/red/anna_soffia42722508291.jpg,5.08,6.43,3.87,7.22
complementary/orange_blue/rolandito30043021900.jpg,7.46,6.5,9.75,8.2
monochromatic/gray/tarosworld23187312365.jpg,5.66,3.25,2.73,6.67
complementary/yellow_violet/elem-o16741567305.jpg,6.79,6.27,4.84,7.53
complementary/red_blue/44713492@N0516498937308.jpg,5.24,7.34,8.56,6.21
monochromatic/red/5rosa123716832571.jpg,6.22,7.45,3.72,8.19
complementary/red_violet/28469941@N0227953875457.jpg,5.21,7.34,6.12,8.45
complementary/yellow_violet/127836968@N0834835403820.jpg,5.21,4.57,6.32,5.89
monochromatic/violet/10561814@N0442453856812.jpg,5.26,3.47,2.85,5.78
monochromatic/orange/brebois21540392753.jpg,7.21,7.43,4.25,6.78
monochromatic/blue/simonstrange2345937836985.jpg,5.62,4.87,6.78,7.32
monochromatic/black/davidschweitzer27706324761.jpg,6.11,4.53,2.17,6.42
temperature/a2989-jmac_MG_5969_T.JPG,6.35,3.42,4.56,6.78
monochromatic/darkyellow/nnicholson16394591098.jpg,5.56,6.34,2.78,7.21
temperature/a3132-dvf_050_T.JPG,5.12,3.45,2.67,7.32
monochromatic/darkorange/bbalaji17725759915.jpg,5.67,6.47,9.32,7.15
temperature/a3213-_DSC4851_D.JPG,5.34,3.27,2.48,7.35
monochromatic/darkgreen/29302734@N0234454559544.jpg,8.67,6.5,8.75,7.25
complementary/yellow_green/muchlove201639518691114.jpg,5.44,5.34,8.67,3.42
monochromatic/darkorange/162814817@N0640282823870.jpg,6.19,7.45,3.67,8.22
temperature/a3140-dgw_096_S.JPG,5.8,3.13,2.87,6.42
complementary/red_green/104630108@N0322759567848.jpg,5.99,7.34,8.77,6.12
complementary/yellow_blue/canadagoosephotography18624769162.jpg,6.32,7.43,6.87,8.56
monochromatic/orange/nevillewootton32578277143.jpg,5.68,7.34,4.56,8.21
complementary/orange_green/135141706@N0521987405316.jpg,7.22,6.67,4.23,7.86
complementary/red_yellow/139461503@N0625399428984.jpg,4.61,9.72,6.19,3.14
monochromatic/green/14138947@N0742370111435.jpg,5.01,6.67,7.22,8.15
complementary/orange_violet/143336601@N0727790075245.jpg,5.66,4.56,2.74,7.39
complementary/red_green/jason_cobb29143436018.jpg,5.85,7.64,8.27,6.55
complementary/yellow_blue/gianluca808029957776656.jpg,6.73,7.34,4.26,8.91
complementary/yellow_green/143874531@N0542326731731.jpg,6.52,5.76,2.47,7.91
monochromatic/white/projets_photos38824477165.jpg,4.97,3.14,1.99,8.52
complementary/yellow_green/jfreund116830659428.jpg,6.42,7.56,9.34,8.22
temperature/a3072-NKIM_084_T.JPG,4.75,3.27,3.76,5.89
temperature/a3165-WP_CRW_0572_AS.jpg,5.28,3.15,1.75,6.8
monochromatic/green/mm17470284993.jpg,6.65,6.72,3.14,7.89
monochromatic/red/sweethaa986633582.jpg,5.63,5.76,9.83,6.47
temperature/a3269-_I2E5901_T.JPG,4.79,3.45,2.67,6.13
complementary/green_blue/muchlove201640157418672.jpg,5.83,5.34,9.87,3.42
complementary/green_violet/127836968@N0819381852515.jpg,6.61,5.06,8.47,6.12
monochromatic/yellow/nshj31105724803.jpg,7.13,6.47,3.19,7.84
monochromatic/darkorange/redhead198216417326740.jpg,5.61,5.0,8.76,6.42
complementary/orange_green/rizwanyou16218826184.jpg,6.63,6.78,5.14,8.32
temperature/a3213-_DSC4851_AS.jpg,5.34,3.67,1.75,6.42
complementary/yellow_violet/artrocity30295223302.jpg,7.04,4.35,7.89,8.56
monochromatic/white/chris_marina24757038082.jpg,5.0,6.73,2.56,8.49
monochromatic/black/160888924@N0540823119354.jpg,5.86,2.35,1.48,5.62
complementary/red_violet/luciatta29635295983.jpg,7.04,6.24,8.57,7.39
complementary/orange_green/137135415@N0642261954904.jpg,6.32,6.78,4.59,7.24
complementary/red_blue/marievoelkering33507292706.jpg,6.35,5.78,9.48,7.33
temperature/a3034-_DGW6331_C.jpg,6.25,4.37,3.09,7.65
monochromatic/orange/28841566@N0529558693500.jpg,7.39,8.73,3.54,7.89
complementary/orange_yellow/torontosmurf32887538755.jpg,6.28,8.34,6.78,7.21
complementary/green_violet/117679407@N0827308570989.jpg,6.54,5.23,7.89,6.12
monochromatic/gray/lunaryuna24561127993.jpg,5.99,2.45,0.76,8.39
monochromatic/violet/raggiebag25681112335.jpg,5.4,5.46,6.92,4.17
monochromatic/red/140664687@N0327442752115.jpg,6.55,8.59,6.34,7.81
complementary/red_yellow/aniciaelvira28912631284.jpg,5.05,7.65,4.22,8.39
monochromatic/yellow/134352553@N0442257638811.jpg,6.26,5.78,8.23,6.11
complementary/yellow_green/sue90ca33862538484.jpg,6.22,6.47,4.23,7.89
complementary/green_blue/photoartvlade23846798173.jpg,5.92,3.47,5.92,6.84
monochromatic/darkorange/99220921@N0338061600842.jpg,5.9,6.45,4.72,7.38
monochromatic/green/neesam19748396613.jpg,6.49,6.43,4.56,7.89
temperature/a3047-kme_101_C.jpg,5.53,6.23,2.76,7.39
complementary/green_violet/maartenpictures26686278141.jpg,5.73,6.5,4.2,8.3
complementary/red_violet/97695964@N0227352939923.jpg,6.37,6.35,8.92,7.61
complementary/blue_violet/muchlove201637503803770.jpg,5.05,4.67,2.14,6.28
complementary/yellow_green/33551458@N0618009916024.jpg,6.69,6.75,7.42,8.19
temperature/a3056-IMG_4331_D.JPG,6.36,3.46,2.74,4.09
complementary/green_blue/sdekouadio19925445743.jpg,5.81,7.85,6.2,8.3
monochromatic/red/crystalwriter33357702781.jpg,5.6,8.34,4.16,6.89
complementary/green_violet/159196455@N0740158785223.jpg,5.66,2.56,6.89,7.43
complementary/orange_violet/stevenscott17173756906.jpg,6.76,7.32,5.94,8.76
complementary/orange_green/127836968@N0816701842594.jpg,6.79,5.72,9.18,4.86
complementary/orange_green/127859692@N0837966905756.jpg,5.26,5.74,7.32,6.45
monochromatic/darkyellow/rafee_niloy23843308929.jpg,5.82,6.47,3.52,7.43
monochromatic/black/iptida_saffat32414331360.jpg,5.03,4.27,8.94,6.53
complementary/red_violet/airportgirl317433364203.jpg,4.81,6.48,7.34,4.22
monochromatic/orange/krisdelcourte32597872095.jpg,6.14,7.34,3.68,8.76
monochromatic/darkyellow/careytim37020221414.jpg,5.94,6.78,4.63,7.89
monochromatic/black/104509053@N0727279738573.jpg,5.41,5.47,9.22,7.81
monochromatic/pink/pigsty34240580135.jpg,5.83,7.34,5.96,6.21
monochromatic/darkyellow/james_d_images30658811921.jpg,6.71,6.38,4.77,7.52
temperature/a3059-050703_155926_I2E9248_F.JPG,6.53,3.67,4.59,6.23
monochromatic/orange/95601837@N0316603884011.jpg,6.1,6.45,7.38,5.62
monochromatic/darkyellow/ronnie-gaye46627384382.jpg,6.3,7.35,8.42,6.89
complementary/red_violet/dawernrulez29691067154.jpg,5.61,6.32,7.89,6.54
temperature/a3315-MB_20030906_022_F.JPG,5.18,6.73,3.89,7.42
monochromatic/darkyellow/ewald-ti44232608281.jpg,7.73,6.57,4.21,8.34
monochromatic/red/155727934@N0736939290863.jpg,5.89,7.42,6.17,8.33
complementary/red_blue/30784372@N0329546256575.jpg,6.77,7.12,4.76,8.39
monochromatic/darkgreen/145522203@N0230755580315.jpg,5.32,6.58,9.42,5.67
monochromatic/lightblue/polar90530157797081.jpg,6.29,7.45,6.32,8.76
temperature/a3281-DSC_0012-3_F.JPG,5.69,3.55,1.63,7.21
monochromatic/white/lucemia32774745941.jpg,5.79,5.76,3.42,7.89
monochromatic/orange/124733025@N0816603076236.jpg,5.67,7.24,9.58,6.33
temperature/a2886-IMG_6623_F.JPG,5.1,4.36,3.22,5.47
monochromatic/red/chirles30266986338.jpg,5.86,6.72,8.19,7.34
monochromatic/violet/ndm-photography24719798744.jpg,7.71,6.23,4.56,7.89
complementary/yellow_green/141306637@N0339696324215.jpg,5.96,6.75,3.19,7.64
temperature/a2997-IMG_4851_AS.jpg,5.98,4.62,2.79,6.43
complementary/yellow_green/kuen-cherng26645175211.jpg,6.23,5.63,3.89,7.34
monochromatic/blue/97171476@N0027023666591.jpg,5.35,6.75,5.89,7.32
complementary/yellow_blue/olivierblitzblum17217475428.jpg,6.4,6.67,4.29,7.84
complementary/orange_green/muchlove201625726044097.jpg,6.26,5.72,9.38,4.07
monochromatic/red/dapsull22039970392.jpg,6.59,6.78,9.43,5.56
monochromatic/blue/villikko30185885655.jpg,6.18,6.23,4.89,7.56
monochromatic/red/124824821@N0626531207212.jpg,6.42,7.23,5.67,8.12
monochromatic/lightpink/thomasscholl21920910212.jpg,6.21,6.47,5.32,7.15
monochromatic/orange/137578060@N0338378679264.jpg,5.95,7.32,5.46,8.91
monochromatic/lightpink/timslessor32371519930.jpg,6.81,7.24,6.45,7.86
monochromatic/lightblue/anamikaelaf27431446411.jpg,5.25,3.27,4.95,6.78
complementary/red_yellow/tonysmithers43805165690.jpg,6.59,7.34,6.58,8.21
complementary/yellow_green/sumowesley40278006820.jpg,6.32,7.86,3.25,8.4
temperature/a3141-dvf_079_AS.jpg,5.86,5.17,8.53,6.89
complementary/red_yellow/b0b0b17302704185.jpg,5.52,8.43,3.76,6.59
complementary/red_blue/128008563@N0726953199666.jpg,5.42,4.87,3.54,7.46
temperature/a2926-MB_070908_110_C.jpg,5.42,5.76,6.32,7.89
monochromatic/orange/gneztek16847706872.jpg,6.21,5.67,8.29,6.54
complementary/orange_violet/calafellvalo16370897844.jpg,5.47,5.32,4.76,7.58
complementary/blue_violet/148553807@N0834569034725.jpg,5.68,4.27,7.85,6.39
monochromatic/darkyellow/karennfld31647561857.jpg,5.75,6.73,7.46,8.22
complementary/orange_blue/57734089@N0332550104093.jpg,7.18,6.43,9.67,7.82
monochromatic/blue/rferrigno33431923202.jpg,6.38,6.47,4.38,7.92
monochromatic/green/sonomoha33659810823.jpg,5.65,6.23,4.89,7.65
monochromatic/darkyellow/95438214@N0034754819385.jpg,5.07,7.45,6.29,8.34
monochromatic/red/eggii31490155816.jpg,5.71,8.43,3.27,7.65
monochromatic/red/mrjohnclarke16427639744.jpg,6.06,9.23,3.56,8.47
temperature/a3190-_78U7672_D.JPG,6.52,3.25,2.1,7.85
temperature/a3242-20080623_at_15h18m22_MG_9919_S.JPG,5.75,4.17,4.39,6.21
complementary/orange_blue/97062902@N0832592404848.jpg,6.69,3.27,4.58,7.34
monochromatic/pink/45005123@N0330149913562.jpg,5.63,5.6,6.4,7.23
monochromatic/darkorange/stellawind22067231056.jpg,6.83,6.82,5.67,7.54
monochromatic/violet/136763969@N0426591001833.jpg,6.48,4.72,5.89,7.34
complementary/green_blue/125347966@N0320749330642.jpg,5.9,6.23,9.47,7.82
complementary/yellow_green/richardkralicek45658950022.jpg,6.89,5.23,3.67,7.89
monochromatic/lightpink/randomlifeproject27476830845.jpg,5.95,7.93,6.47,8.34
monochromatic/violet/arichards-gallery47480196632.jpg,6.05,6.52,7.89,8.34
monochromatic/red/choccupcake27878283735.jpg,5.96,6.78,4.33,7.21
complementary/orange_green/karenfriedman21288515164.jpg,5.88,5.74,6.89,7.31
monochromatic/darkorange/glenncartmill30189190693.jpg,5.77,6.74,3.65,8.22
complementary/green_blue/photoartvlade24388956631.jpg,5.93,6.25,5.43,7.16
monochromatic/orange/49294808@N0538333531975.jpg,5.61,7.56,4.32,6.89
temperature/a2857-IMG_0239_C.jpg,5.65,4.56,3.42,7.89
monochromatic/orange/124733025@N0816591782960.jpg,5.46,7.25,6.78,6.14
complementary/orange_green/154351473@N0236954183372.jpg,5.61,6.75,7.24,8.67
temperature/a2819-IMG_4409_C.jpg,5.17,4.76,2.45,7.34
monochromatic/orange/67183616@N0746385672702.jpg,6.58,6.78,7.45,8.64
monochromatic/orange/yappingjak30496053916.jpg,5.51,8.34,6.21,7.89
monochromatic/darkyellow/115750956@N0645764692195.jpg,5.67,7.34,9.47,6.12
complementary/orange_yellow/149530772@N0534381421045.jpg,6.14,6.89,8.34,7.22
monochromatic/pink/101453319@N0731688030792.jpg,5.92,7.45,8.23,6.79
complementary/yellow_green/pragadish23562559570.jpg,6.31,6.75,4.22,7.98
complementary/green_violet/97618015@N0729893760263.jpg,5.31,7.32,9.85,6.5
complementary/red_green/n-a37125990535.jpg,5.28,5.34,4.56,7.89
complementary/green_violet/134864272@N0226094843481.jpg,7.03,6.34,4.57,7.82
temperature/a3189-jn_2007_05_03__166_AS.jpg,5.77,4.73,2.56,7.82
monochromatic/darkyellow/136233657@N0828237093510.jpg,7.39,5.48,4.36,7.13
temperature/a3227-DSC_0080_C.jpg,5.88,3.24,2.86,7.75
monochromatic/darkorange/deepgreen200939156614092.jpg,7.55,7.43,6.28,8.65
monochromatic/darkyellow/fotosbyjohnh39495362962.jpg,5.55,7.46,8.92,6.13
complementary/red_green/jorjo_indie25171692703.jpg,5.05,6.42,4.88,7.63
complementary/red_orange/136514729@N0230069567371.jpg,6.33,7.34,8.76,6.42
monochromatic/darkyellow/hagens_world15708788921.jpg,6.14,7.32,8.56,6.49
monochromatic/orange/elf-y20816154045.jpg,6.06,5.67,9.23,6.78
complementary/orange_yellow/mertonian25389616194.jpg,4.39,8.34,5.42,6.19
complementary/green_violet/jfreund127504142815.jpg,6.25,4.35,6.27,7.82
complementary/orange_blue/fatty_blue24058215926.jpg,5.89,6.34,2.57,7.89
monochromatic/red/67183616@N0741074701465.jpg,5.92,7.23,9.85,5.67
monochromatic/darkorange/144360264@N0831842331385.jpg,4.46,6.34,7.89,5.67
monochromatic/pink/wrh4022419162032.jpg,5.21,6.47,8.92,6.35
monochromatic/darkgreen/john_6446680591814.jpg,6.14,8.29,6.77,5.33
complementary/red_blue/13499964@N0333354829006.jpg,6.32,6.35,7.42,5.61
complementary/blue_violet/55873432@N0427302367723.jpg,5.03,3.46,5.89,6.23
monochromatic/darkgreen/april-mo36756894533.jpg,4.59,6.87,7.92,5.34
temperature/a3216-WP_IMG_0957_D.JPG,6.21,5.8,4.25,7.4
monochromatic/lightblue/mild_delirium23957795764.jpg,6.26,7.42,5.63,7.85
monochromatic/yellow/jobalato24135312861.jpg,6.96,8.34,6.78,7.89
complementary/yellow_violet/hongdonglx30465842433.jpg,6.37,7.15,8.75,6.4
temperature/a3045-kme_122_T.JPG,5.29,3.27,5.42,6.89
complementary/orange_blue/james_d_images35834170313.jpg,6.11,7.24,5.68,8.15
monochromatic/darkyellow/nathanmurphy17157883077.jpg,6.19,6.73,4.28,7.65
monochromatic/red/80454089@N0042078405015.jpg,5.29,9.27,1.83,4.19
monochromatic/white/zapattpics46211814384.jpg,7.77,4.27,6.84,7.93
temperature/a3302-kme_606_D.JPG,5.89,5.67,3.24,6.58
